# Some extra glyph names that were encountered
.notdef;FFFD
Ksmall;006B
Lsmall;006C
Msmall;006D
Nsmall;006E
Osmall;006F
Psmall;0070
Qsmall;0071
Rsmall;0072
Ssmall;0073
Tsmall;0074
Usmall;0075
Vsmall;0076
Wsmall;0077
Xsmall;0078
Ysmall;0079
Zsmall;007A
# ============================================== Seem to be small caps; from HypatiaSansPro-Regular
a.a;0061
b.a;0062
c.a;0063
d.a;0064
e.a;0065
f.a;0066
g.a;0067
h.a;0068
i.a;0069
j.a;006A
k.a;006B
l.a;006C
m.a;006D
n.a;006E
o.a;006F
p.a;0070
q.a;0071
r.a;0072
s.a;0073
t.a;0074
u.a;0075
v.a;0076
w.a;0077
x.a;0078
y.a;0079
z.a;007A
# ============================================== Calligraphy (Script)
Acal;1D49C
Bcal;212C
Ccal;1D49E
Dcal;1D49F
Ecal;2130
Fcal;2131
Gcal;1D4A2
Hcal;210B
Ical;2110
Jcal;1D4A5
Kcal;1D4A6
Lcal;2112
Mcal;2133
Ncal;1D4A9
Ocal;1D4AA
Pcal;1D4AB
Qcal;1D4AC
Rcal;211B
Scal;1D4AE
Tcal;1D4AF
Ucal;1D4B0
Vcal;1D4B1
Wcal;1D4B2
Xcal;1D4B3
Ycal;1D4B4
Zcal;1D4B5
# ============================================== Accented cyrillic chars
afii10065.var.accented;04300301
afii10066.var.accented;04310301
afii10067.var.accented;04320301
afii10068.var.accented;04330301
afii10069.var.accented;04340301
afii10070.var.accented;04350301
afii10071.var.accented;04510301
afii10072.var.accented;04360301
afii10073.var.accented;04370301
afii10074.var.accented;04380301
afii10075.var.accented;04390301
afii10076.var.accented;043A0301
afii10077.var.accented;043B0301
afii10078.var.accented;043C0301
afii10079.var.accented;043D0301
afii10080.var.accented;043E0301
afii10081.var.accented;043F0301
afii10082.var.accented;04400301
afii10083.var.accented;04410301
afii10084.var.accented;04420301
afii10085.var.accented;04430301
afii10086.var.accented;04440301
afii10087.var.accented;04450301
afii10088.var.accented;04460301
afii10089.var.accented;04470301
afii10090.var.accented;04480301
afii10091.var.accented;04490301
afii10092.var.accented;044A0301
afii10093.var.accented;044B0301
afii10094.var.accented;044C0301
afii10095.var.accented;044D0301
afii10096.var.accented;044E0301
afii10097.var.accented;044F0301
# ============================================== Various (mostly Arabic) AFII codes (from TimesNewRomanPSMT)
# afii57555;FBFC
# afii57567;FB8E
# afii62753;FE82
# afii62754;FE84
# afii62755;FE86
# afii62756;FE88
# afii62757;FE8B
# afii62758;FE8C
# afii62759;FE8A
# afii62760;FE8E
# afii62761;FE91
# afii62762;FE92
# afii62763;FE90
# afii62764;FE94
# afii62765;FE97
# afii62766;FE98
# afii62767;FE96
# afii62768;FE9B
# afii62769;FE9C
# afii62770;FE9A
# afii62771;FE9F
# afii62772;FEA0
# afii62773;FE9E
# afii62774;FEA3
# afii62775;FEA4
# afii62776;FEA2
# afii62777;FEA7
# afii62778;FEA8
# afii62779;FEA6
# afii62780;FEAA
# afii62781;FEAC
# afii62782;FEAE
# afii62783;FEB0
# afii62784;FEB3
# afii62785;FEB4
# afii62786;FEB2
# afii62787;FEB7
# afii62788;FEB8
# afii62789;FEB6
# afii62790;FEBB
# afii62791;FEBC
# afii62792;FEBA
# afii62793;FEBF
# afii62794;FEC0
# afii62795;FEBE
# afii62796;FEC3
# afii62797;FEC4
# afii62798;FEC2
# afii62799;FEC7
# afii62800;FEC8
# afii62801;FEC6
# afii62802;FECB
# afii62803;FECC
# afii62804;FECA
# afii62805;FECF
# afii62806;FED0
# afii62807;FECE
# afii62808;FED3
# afii62809;FED4
# afii62810;FED2
# afii62811;FED7
# afii62812;FED8
# afii62813;FED6
# afii62815;FEDC
# afii62816;FEDA
# afii62817;FEDF
# afii62818;FEE0
# afii62819;FEDE
# afii62820;FEE3
# afii62821;FEE4
# afii62822;FEE2
# afii62823;FEE7
# afii62824;FEE8
# afii62825;FEE6
# afii62827;FEEC
# afii62828;FEEA
# afii62829;FEEE
# afii62830;FEF0
# afii62831;FEF3
# afii62832;FEF4
# afii62833;FEF2
# afii62834;FEF5
# afii62835;FEF6
# afii62836;FEF7
# afii62837;FEF8
# afii62838;FEF9
# afii62839;FEFA
# afii62840;FEFB
# afii62841;FEFC
# afii62843;06F4
# afii62844;06F5
# afii62845;06F6
# afii62881;E818
# afii62882;FC5E
# afii62883;FC5F
# afii62884;FC60
# afii62885;FC61
# afii62886;FC62
# afii62956;FB58
# afii62958;FB57
# afii62959;FB7C
# afii62960;FB7D
# afii62961;FB7B
# afii62962;FB8B
# afii62964;FB8F
# afii62965;FB94
# afii62966;FB95
# afii62967;FB93
# afii64060;FD3E
# afii64061;FD3F
# afii64184;FDF2
# ============================================== Numbers
0;0030
1;0031
2;0032
3;0033
4;0034
5;0035
6;0036
7;0037
8;0038
9;0039
# ============================================== Override 'old style' glyph UVs
zerooldstyle;0030
oneoldstyle;0031
twooldstyle;0032
threeoldstyle;0033
fouroldstyle;0034
fiveoldstyle;0035
sixoldstyle;0036
sevenoldstyle;0037
eightoldstyle;0038
nineoldstyle;0039
# ---
zero.oldstyle;0030
one.oldstyle;0031
two.oldstyle;0032
three.oldstyle;0033
four.oldstyle;0034
five.oldstyle;0035
six.oldstyle;0036
seven.oldstyle;0037
eight.oldstyle;0038
nine.oldstyle;0039
# ---
zero.o;0030
one.o;0031
two.o;0032
three.o;0033
four.o;0034
five.o;0035
six.o;0036
seven.o;0037
eight.o;0038
nine.o;0039
# ============================================== Extended cyrillic
cyrObar;04e8
cyrobar;04e9
cyrGebar;0492
cyrgebar;0493
cyrKadesc;049a
cyrkadesc;049b
cyreNdesc;04a2
cyrendesc;04a3
# ============================================== Cyrillic Kazakh
cyrinvE;018f
cyrinve;0259
cyrstraightU;04AE
cyrstraightu;04AF
# ============================================== Mathematica fonts
CapGamma;0393
Slash1;002f
LParen1;0028
RParen1;0029
VertBar1;007c
# ============================================== wncyr fonts
#Ishort;0419
#soft;044c
#ishort;0439
#Yu;042e
#yu;044e
#zhe;0436
#hard;044a
#Zhe;0416
#yo;0451
#number;2116
#ze;044d
#Ze;042d
#ya;044f
#Ya;042f

# ============================================== Brackets
angbracketleft;27E8
angbracketleftBig;27E8
angbracketleftBigg;27E8
angbracketleftbig;27E8
angbracketleftbigg;27E8
angbracketright;27E9
angbracketrightBig;27E9
angbracketrightBigg;27E9
angbracketrightbig;27E9
angbracketrightbigg;27E9
angleleftbig;2329
angleleftbig1;2329
angleleftbig2;2329
angleleftbig3;2329
angleleftbig4;2329
angleleftbig5;2329
angleleftbig6;2329
angleleftbig7;2329
angleleftbig8;2329
angleleftbig9;2329
anglerightbig;232A
anglerightbig1;232A
anglerightbig2;232A
anglerightbig3;232A
anglerightbig4;232A
anglerightbig5;232A
anglerightbig6;232A
anglerightbig7;232A
anglerightbig8;232A
anglerightbig9;232A
braceleft;007B
braceleftBig;007B
braceleftBigg;007B
braceleftbig;007B
braceleftbig1;007B
braceleftbig2;007B
braceleftbig3;007B
braceleftbig4;007B
braceleftbig5;007B
braceleftbig6;007B
braceleftbig7;007B
braceleftbig8;007B
braceleftbig9;007B
braceleftbigg;007B
braceright;007D
bracerightBig;007D
bracerightBigg;007D
bracerightbig;007D
bracerightbig1;007D
bracerightbig2;007D
bracerightbig3;007D
bracerightbig4;007D
bracerightbig5;007D
bracerightbig6;007D
bracerightbig7;007D
bracerightbig8;007D
bracerightbig9;007D
bracerightbigg;007D
bracehtipdownleft;25DC
bracehtipdownright;25DD
bracehtipupleft;25DF
bracehtipupright;25DE
braceleftbt;23A9
braceleft.bot;23A9
braceleftmid;23A8
braceleft.mid;23A8
bracelefttp;23A7
braceleft.top;23A7
bracerightbt;23AD
braceright.bot;23AD
bracerightmid;23AC
braceright.mid;23AC
bracerighttp;23AB
braceright.top;23AB
braceex;23AA
bracketleftBig;005B
bracketleftBigg;005B
bracketleftbig;005B
bracketleftbig1;005B
bracketleftbig2;005B
bracketleftbig3;005B
bracketleftbig4;005B
bracketleftbig5;005B
bracketleftbig6;005B
bracketleftbig7;005B
bracketleftbig8;005B
bracketleftbig9;005B
bracketleftbigg;005B
bracketleftbt;230A
bracketleftex;23A2
bracketlefttp;2308
bracketrightBig;005D
bracketrightBigg;005D
bracketrightbig;005D
bracketrightbig1;005D
bracketrightbig2;005D
bracketrightbig3;005D
bracketrightbig4;005D
bracketrightbig5;005D
bracketrightbig6;005D
bracketrightbig7;005D
bracketrightbig8;005D
bracketrightbig9;005D
bracketrightbigg;005D
bracketrightbt;230B
bracketrightex;23A5
bracketrighttp;2309
ceilingleft;2308
ceilingleftBig;2308
ceilingleftBigg;2308
ceilingleftbig;2308
ceilingleftbig2;2308
ceilingleftbig3;2308
ceilingleftbig4;2308
ceilingleftbigg;2308
ceilingright;2309
ceilingrightBig;2309
ceilingrightBigg;2309
ceilingrightbig;2309
ceilingrightbig2;2309
ceilingrightbig3;2309
ceilingrightbig4;2309
ceilingrightbigg;2309
floorleft;230A
floorleftBig;230A
floorleftBigg;230A
floorleftbig;230A
floorleftbig1;230A
floorleftbig2;230A
floorleftbig3;230A
floorleftbigg;230A
floorright;230B
floorrightBig;230B
floorrightBigg;230B
floorrightbig;230B
floorrightbig1;230B
floorrightbig2;230B
floorrightbig3;230B
floorrightbigg;230B
parenleftBig;0028
parenleftBigg;0028
parenleftbig;0028
parenleftbig1;0028
parenleftbig2;0028
parenleftbig3;0028
parenleftbig4;0028
parenleftbig5;0028
parenleftbig6;0028
parenleftbig7;0028
parenleftbig8;0028
parenleftbig9;0028
parenleftbigg;0028
parenleftbt;239D
parenleftex;239C
parenlefttp;239B
parenrightBig;0029
parenrightBigg;0029
parenrightbig;0029
parenrightbig1;0029
parenrightbig2;0029
parenrightbig3;0029
parenrightbig4;0029
parenrightbig5;0029
parenrightbig6;0029
parenrightbig7;0029
parenrightbig8;0029
parenrightbig9;0029
parenrightbigg;0029
parenrightbt;23A0
parenrightex;239F
parenrighttp;239E
dcurly;23DF
dcurlyleft;23DF
dcurlymid;23DF
dcurlyright;23DF
udcurlymod;23DF
# ============================================== Other multi-size chars
backslash;005C
backslashBig;005C
backslashBigg;005C
backslashbig;005C
backslashbigg;005C
hat4;02C6
hat5;02C6
hat6;02C6
hatwide;02C6
hatwide1;02C6
hatwide2;02C6
hatwide3;02C6
hatwide4;02C6
hatwide5;02C6
hatwide6;02C6
hatwide7;02C6
hatwide8;02C6
hatwide9;02C6
hatwide10;02C6
hatwide11;02C6
hatwide12;02C6
hatwide13;02C6
hatwider;02C6
hatwidest;02C6
integral;222B
integraldisplay;222B
integraldisplay1;222B
integraldisplay2;222B
integraldisplay3;222B
integraldisplay4;222B
integraldisplay5;222B
integraldisplay6;222B
integraldisplay7;222B
integraldisplay8;222B
integraldisplay9;222B
integraltext;222B
radical;221A
radicalBig;221A
radicalBigg;221A
radicalbig;221A
radicalbig1;221A
radicalbig2;221A
radicalbig3;221A
radicalbig4;221A
radicalbig5;221A
radicalbig6;221A
radicalbig7;221A
radicalbig8;221A
radicalbig9;221A
radicalbigg;221A
radicalbt;221A
radicallow;221A
radicaltp;250C
slash;002F
slash.left;002F
slashBig;002F
slashBigg;002F
slashbig;002F
slashbig1;002F
slashbig2;002F
slashbig3;002F
slashbig4;002F
slashbigg;002F
tilde;02DC
tilde4;02DC
tilde5;02DC
tilde6;02DC
tildewide;02DC
tildewide1;02DC
tildewide2;02DC
tildewide3;02DC
tildewide4;02DC
tildewide5;02DC
tildewide6;02DC
tildewide7;02DC
tildewide8;02DC
tildewide9;02DC
tildewider;02DC
tildewidest;02DC
# ============================================== Glyph names used by TeX fonts
AE;00C6
Complex;2102
Delta1;2206
Gamma1;0393
Ifractur;2111
Lambda1;039B
Natural;2115
OE;0152
Omega1;2126
Oslash;00D8
Phi1;03A6
Pi;03A0
Psi1;03A8
Real;211D
Rfractur;211C
Sigma1;03A3
Theta1;0398
Upsilon;03A5
Xi;039E
Zinteger;2124
acute;00B4
ae;00E6
alpha;03B1
approxequal;2248
arrowboth;2194
arrowbothv;2195
arrowbt;2193
arrowdblboth;21D4
arrowdblbothv;21D5
arrowdblbt;21D3
arrowdbldown;21D3
arrowdblleft;21D0
arrowdblright;21D2
arrowdbltp;21D1
arrowdblup;21D1
arrowdown;2193
arrowhorizex;23AF
arrowhookleft;02D3
arrowhookright;02D2
arrowleft;2190
arrowlefttophalf;21BC
arrownortheast;2197
arrownorthwest;2196
arrowright;2192
arrowrightbothalf;21C1
arrowsoutheast;2198
arrowsouthwest;2199
arrowtp;2191
arrowup;2191
asteriskmath;2217
asymptequal;2243
bar;007C
barex;007C
bardbl;2016
beta;03B2
breve;02D8
bullet;2022
Bullet;25CF
caron;02C7
cedilla;00B8
chi;03C7
Circle;25CB
circlecopyrt;20DD
circledivide;2298
circledot;2299
circledotdisplay;2299
circledottext;2299
circleminus;2296
circlemultiply;2297
circlemultiplydisplay;2297
circlemultiplytext;2297
circleplus;2295
circleplusdisplay;2295
circleplustext;2295
circumflex;02C6
club;2663
comma;002C
contintegraldisplay;222E
contintegraltext;222E
coproduct;2210
coproductdisplay;2210
coproducttext;2210
dotminus;2238
dagger;2020
daggerdbl;2021
dblarrowleft;21D0
delta;03B4
diamondmath;25C7
diamondsolid;25C6
dieresis;00A8
divide;00F7
dotaccent;02D9
dotlessi;0131
dotlessj;0237
downslope;29F9
eightoldstyle;0038
element;2208
emdash;2014
emptyset;2205
endash;2013
#epsilon1;03B5
#epsilon1;1D716
epsilon1;03F5
epsilon;03B5
equal1;003D
equivalence;2261
equivasymptotic;224D
eta;03B7
exclamdown;00A1
existential;2203
ff;FB00
ffi;FB03
ffl;FB04
fi;FB01
fiveoldstyle;0035
fl;FB02
flat;266D
follows;227B
fouroldstyle;0034
gamma;03B3
germandbls;00DF
grave;0060
greaterequal;2265
greaterorequalslant;2A7E
greatermuch;226B
harpoonleftright;21cb
harpoonrightleft;21cc
heart;2665
hungarumlaut;02DD
infinity;221E
intersection;2229
intersectiondisplay;22C2
intersectiontext;22C2
iota;03B9
kappa;03BA
kappascript;03F0
lambda;03BB
latticetop;22A4
lefrightline;23AF
lessequal;2264
lessorequalslant;2A7D
lessmuch;226A
logicaland;2227
logicalanddisplay;2227
logicalandtext;2227
logicalnot;00AC
logicalor;2228
logicalordisplay;2228
logicalortext;2228
lscript;2113
macron;00AF
# mapsto;2E20 --- wrong as this code is a punctuation symbol
# mapsto;22A6
mapsto;27FC
mapstochar;27FC
minus;2212
Minus;2212
minusplus;2213
multiply;00D7
nabla;2207
natural;266E
negationslash;0338
nineoldstyle;0039
nu;03BD
oe;0153
omega;03C9
oneoldstyle;0031
openbullet;25E6
oslash;00F8
owner;220B
paragraph;00B6
partialdiff;2202
period;002E
periodcentered;00B7
period.numerator;00B7
perthousandzero;2080
# ---------------------
# The phi/phi1 codes were swapped in Unicode 3.0 (Unicode Technical Report #25)
phi;03D5
phi1;03C6
phiscript;03C6
# ---------------------
pi1;03D6
pi;03C0
plusminus;00B1
precedes;227A
prime;2032
productdisplay;220F
producttext;220F
propersubset;2282
propersuperset;2283
proportional;221D
questiondown;00BF
quotedblleft;201C
quotedblright;201D
quoteleft;2018
quoteright;2019
reflexsubset;2286
reflexsuperset;2287
rho;03C1
rho1;03F1
ring;02DA
section;00A7
sevenoldstyle;0037
sharp;266F
shortleftarrow;2190
shortrightarrow;2192
sigma;03C3
sigma1;03C2
similar;223C
similarequal;2243
sixoldstyle;0036
slurabove;2322
slurbelow;2323
spade;2660
square;25A1
square5;25A0
square7;25A0
squareimage;228F
squareoriginal;2290
star;22C6
sterling;00A3
subsetsqequal;2291
summationdisplay;2211
summationtext;2211
supersetsqequal;2292
suppress;0337
tau;03C4
thetascript;03D1
threeoldstyle;0033
tie;2040
triangle;25B3
triangleinv;25BD
triangleleft;25C1
triangleleftsld;25C2
triangleright;25B7
trianglerightsld;25B8
turnstileleft;22A2
turnstileright;22A3
twooldstyle;0032
union;222A
uniondisplay;22C3
unionmulti;228E
unionmultidisplay;228E
unionmultitext;228E
uniontext;22C3
universal;2200
upsilon;03C5
upslope;29F8
varepsilon;03B5
varphi;03C6
vector;20D7
weierstrass;2118
wreathproduct;2240
xi;03BE
zerooldstyle;0030
zeta;03B6
# END
